ID,MARCA,NOMBRE,ESTILO,GRADUACIÓN,NACIONALIDAD,NOTA,COMENTARIOS,IMAGEN_LOCAL,IMAGEN
55,Chula ,Pale Ale,Pale Ale,5.7,España,,Rivas-Vaciamadrid,Chula Pale Ale.png,https://borja-unibeerse.netlify.app/BeerImages/Chula%20Pale%20Ale.png
56,Coedo,Shiro,Trigo,5.5,Japón,,,Coedo Shiro.png,https://borja-unibeerse.netlify.app/BeerImages/Coedo%20Shiro.png
57,CR AK + Beared Iris,DDH Session IPA,IPA,3.0,Italia,,Lata,DDH Session IPA.png,https://borja-unibeerse.netlify.app/BeerImages/DDH%20Session%20IPA.png
58,Cruzcampo,Gran Reserva,Lager,6.4,España,,,Cruzcampo Gran Reserva.png,https://borja-unibeerse.netlify.app/BeerImages/Cruzcampo%20Gran%20Reserva.png
59,Cruzcampo,Especial,Lager,5.6,España,,,Cruzcampo Especial.png,https://borja-unibeerse.netlify.app/BeerImages/Cruzcampo%20Especial.png
60,Cubanisto,Rum Flavoured Beer,Lager Dorada,5.9,Bélgica,,Lata,Cubanisto.png,https://borja-unibeerse.netlify.app/BeerImages/Cubanisto.png
61,Damm,Voll-Damm,Märzenbier,7.2,España,,,Voll Damm.png,https://borja-unibeerse.netlify.app/BeerImages/Voll%20Damm.png
62,Damm,Inedit,Lager,4.8,España,,,Damm Innedit.png,https://borja-unibeerse.netlify.app/BeerImages/Damm%20Innedit.png
63,Damm,Free,Lager,0.0,España,,,Free Damm.png,https://borja-unibeerse.netlify.app/BeerImages/Free%20Damm.png
64,Damm,Malquerida,Roja Fresca,5.0,España,,,Malquerida.png,https://borja-unibeerse.netlify.app/BeerImages/Malquerida.png
65,Damm,Complot IPA,IPA,6.6,España,,,Damm Complot IPA.png,https://borja-unibeerse.netlify.app/BeerImages/Damm%20Complot%20IPA.png
66,Das Schwarze,Schwarzbier,Dark Lager,4.9,Alemania,,,Das Schwarze Schwarzbier.png,https://borja-unibeerse.netlify.app/BeerImages/Das%20Schwarze%20Schwarzbier.png
67,Daura, Damm,Lager - Sin Gluten,5.4,España,,,Daura Sin Gluten.png,https://borja-unibeerse.netlify.app/BeerImages/Daura%20Sin%20Gluten.png
68,Delirium,Tremens,Golden Belgian Strong Ale,8.5,Bélgica,,,Delirium Tremens.png,https://borja-unibeerse.netlify.app/BeerImages/Delirium%20Tremens.png
69,Desperados,Mojito Tequila,Lager,5.9,Francia,,,Desperados Mojito.png,https://borja-unibeerse.netlify.app/BeerImages/Desperados%20Mojito.png
70,Desperados,Tequila Lima y Cactus,Lager,3.0,Francia,,,Desperados Lima.png,https://borja-unibeerse.netlify.app/BeerImages/Desperados%20Lima.png
71,Desperados,Tequila,Lager,5.9,Francia,,,Desperados.png,https://borja-unibeerse.netlify.app/BeerImages/Desperados.png
72,Dougall's,Tres Mares,Brown Ale,5.2,España,,Cantabria,Dougalls 3 Mares.png,https://borja-unibeerse.netlify.app/BeerImages/Dougalls%203%20Mares.png
73,Dougall's,Pilsen,Pilsen,5.0,España,,Cantabria,Dougalls Pilsen.png,https://borja-unibeerse.netlify.app/BeerImages/Dougalls%20Pilsen.png
74,Dougall's,IPA 8,IPA,6.5,España,,,Dougalls IPA 8.png,https://borja-unibeerse.netlify.app/BeerImages/Dougalls%20IPA%208.png
75,Dougall's,Cerveza Ecologica Dos (2),American Pale Ale,4.8,España,,,Dougalls Organic.png,https://borja-unibeerse.netlify.app/BeerImages/Dougalls%20Organic.png
76,Dougall's,942,American Pale Ale,4.2,España,,Sin Gluten. Maria,Dougalls 942.png,https://borja-unibeerse.netlify.app/BeerImages/Dougalls%20942.png
77,Dougall's,IPA 9,IPA,6.5,España,,,Dougalls IPA 9.png,https://borja-unibeerse.netlify.app/BeerImages/Dougalls%20IPA%209.png
78,Duff Beer,Duff,Lager,4.7,Alemania,,La primera de la colección,Duff Beer.png,https://borja-unibeerse.netlify.app/BeerImages/Duff%20Beer.png
79,Efes,Pilsener,Pilsen,4.9,Turquia,,,Efes Pilsen.png,https://borja-unibeerse.netlify.app/BeerImages/Efes%20Pilsen.png
80,El Aguila,Sin Filtrar,Lager - Levadura en suspensión,5.5,España,,,El Aguila Sin Filtrar.png,https://borja-unibeerse.netlify.app/BeerImages/El%20Aguila%20Sin%20Filtrar.png
81,Enigma,Cervantes 400,Trigo,4.5,España,,,Valkiria Hidromiel.png,https://borja-unibeerse.netlify.app/BeerImages/Enigma%20Cervantes%20400.png
82,Enigma Valkiria,Hidromiel,Hidromiel,5.2,España,,,Enigma Cervantes 400.png,https://borja-unibeerse.netlify.app/BeerImages/Valkiria%20Hidromiel.png
83,Erlkönig Festbier,Erlkönig Festbier,Festbier,6.1,Alemania,,,Erlkönig Festbier.png,https://borja-unibeerse.netlify.app/BeerImages/Erlk%C3%B6nig%20Festbier.png
84,Estrella Damm,Mediterranea,Lager,5.4,España,,,Estrella Damm Mediterraneo.png,https://borja-unibeerse.netlify.app/BeerImages/Estrella%20Damm%20Mediterraneo.png
85,Estrella Damm,Receta Original,Lager,5.4,España,,,Estrella Damm Receta Original.png,https://borja-unibeerse.netlify.app/BeerImages/Estrella%20Damm%20Receta%20Original.png
86,Estrella Galicia,Madroños,Afrutada,4.0,España,,Botella número 19872/24500,Estrella Galicia Pulpo Á Feira.png,https://borja-unibeerse.netlify.app/BeerImages/Estrella%20Galicia%20Madro%C3%B1os.png
87,Estrella Galicia,Pulpo Á Feira,Ale,5.8,España,,,Estrella Galicia Madroños.png,https://borja-unibeerse.netlify.app/BeerImages/Estrella%20Galicia%20Pulpo%20%C3%81%20Feira.png
88,Estrella Galicia,Castañas,Afrutada - Magosto,5.7,España,,,Estrella Galicia Castañas.png,https://borja-unibeerse.netlify.app/BeerImages/Estrella%20Galicia%20Casta%C3%B1as.png
89,Estrella Galicia,Estrella de Navidad (2018),Lager,5.5,España,,,Estrella de Navidad.png,https://borja-unibeerse.netlify.app/BeerImages/Estrella%20de%20Navidad.png
90,Estrella Galicia,Pimientos de Padrón,Afrutada - Pimiento,6.3,España,,Botella número 139353/425000,Estrella Galicia Pimientos Padron.png,https://borja-unibeerse.netlify.app/BeerImages/Estrella%20Galicia%20Pimientos%20Padron.png
91,Estrella Galicia,Cerveza Especial, Lager,5.5,España,,,Estrella Galicia Especial.png,https://borja-unibeerse.netlify.app/BeerImages/Estrella%20Galicia%20Especial.png
92,Estrella Galicia,San Isidro, Lager,5.5,España,,Cerveza especial edición san Isidro 2023,Estrella Galicia San Isidro.png,https://borja-unibeerse.netlify.app/BeerImages/Estrella%20Galicia%20San%20Isidro.png
93,Estrella Levante,60 Aniversario,Lager Especial,6.2,España,,,Estrella Levante 60 aniversario.png,
94,Flyding Dog,Doggie Style,Pale Ale,5.5,Estados Unidos,,,Flying Dog Doggie Style.png,https://borja-unibeerse.netlify.app/BeerImages/Flying%20Dog%20Doggie%20Style.png
95,Flying Cauldron,ButterScotch Beer,Non-Alchoholic,0.0,Inglaterra,,Maria - Cerveza de Mantequilla,Flying Cauldron ButterScotch Beer.png,https://borja-unibeerse.netlify.app/BeerImages/Flying%20Cauldron%20ButterScotch%20Beer.png
96,Founders,Dirty Bastard,Scoth Ale,8.5,Escocia,,,Founders Dirty Bastard.png,https://borja-unibeerse.netlify.app/BeerImages/Founders%20Dirty%20Bastard.png
97,Fuller's,London Pride,Bitter Ale,4.7,Inglaterra,,,Fullers London Pride.png,https://borja-unibeerse.netlify.app/BeerImages/Fullers%20London%20Pride.png
98,G de Goudale,Gran Cru,Pale Ale,7.9,Francia,,,G de Goudale Gran Cru.png,https://borja-unibeerse.netlify.app/BeerImages/G%20de%20Goudale%20Gran%20Cru.png
99,Gordon,Revolución Xplossion,Strong Red Fruit,9.0,Bélgica,,Lata,Gordon Xplossion.png,https://borja-unibeerse.netlify.app/BeerImages/Gordon%20Xplossion.png
100,Gouden ,Carolus,Pale Ale,8.5,Bélgica,,,Gouden Carolus.png,https://borja-unibeerse.netlify.app/BeerImages/Gouden%20Carolus.png
101,Gouden ,Carolus, Triple,9,Bélgica,,,Gouden Carolus Tripel.png,
102,Gradisca,Gradisca,Lager,5.2,Italia,,,Gradisca.png,https://borja-unibeerse.netlify.app/BeerImages/Gradisca.png
103,Gran Reserva,1897,Triple Belga,7.9,Bélgica,,,Gran Reserva 1897.png,https://borja-unibeerse.netlify.app/BeerImages/Gran%20Reserva%201897.png
104,Grevensteiner,C & A. Veltins,Lager,5.2,Alemania,,,Grevensteiner C & A.png,https://borja-unibeerse.netlify.app/BeerImages/Grevensteiner%20C%20&%20A.png
105,Grimbergen,Blonde,Trapenses,6.7,Bélgica,,,Grimbergen Blonde.png,https://borja-unibeerse.netlify.app/BeerImages/Grimbergen%20Blonde.png
106,Grimbergen,Double Ambrée,Dubble,6.5,Bélgica,,,Grimbergen Double Ambrée.png,https://borja-unibeerse.netlify.app/BeerImages/Grimbergen%20Double%20Ambr%C3%A9e.png
107,Grolsch ,Radler,Radler,2.0,Holanda,,,Grolsch.png,https://borja-unibeerse.netlify.app/BeerImages/Grolsch.png
108,Guinness,Draugth Stout,Stout,4.2,Irlanda,,,Guinness Draugth Stout.png,https://borja-unibeerse.netlify.app/BeerImages/Guinness%20Draugth%20Stout.png
109,Guinness,Hop House 13 Lager,Lager,5.0,Irlanda,,,Guinness Hop House 13.png,https://borja-unibeerse.netlify.app/BeerImages/Guinness%20Hop%20House%2013.png
110,Gulden Draak,Classic,Dark Red Triple,10.5,Bélgica,,,Gulden Draak Classic.png,
111,HeatherWood,The Ginger Grizzly,Afrutada,4.0,Inglaterra,,,HeatherWood The Ginger Grizzly.png,https://borja-unibeerse.netlify.app/BeerImages/HeatherWood%20The%20Ginger%20Grizzly.png
112,Heineken,La Rubia,Rubia,6.2,España,,,Heineken 1870.png,https://borja-unibeerse.netlify.app/BeerImages/Heineken%201870.png
113,Heineken,Heineken Original,Lager Pilsen,5.0,Holanda,,,Heineken.png,https://borja-unibeerse.netlify.app/BeerImages/Heineken.png
114,Heineken,Heineken Original,Lager Pilsen,5.0,Holanda,,Distinta Botella,Heineken +Color 1.png,https://borja-unibeerse.netlify.app/BeerImages/Heineken%20+Color%201.png
115,Heineken,Heineken Lager,Lager Pilsen,5.0,Holanda,,Botellin de Cristal,Heineken +Color 2.png,https://borja-unibeerse.netlify.app/BeerImages/Heineken%20+Color%202.png
116,Heineken,Heineken Original,Lager Pilsen,5.0,Holanda,,Botellin de Aluminio,Heineken Aluminio.png,https://borja-unibeerse.netlify.app/BeerImages/Heineken%20Aluminio.png
117,Heineken,másColor,Lager,5.0,Holanda,,Jorge,Heineken +Color 3.png,https://borja-unibeerse.netlify.app/BeerImages/Heineken%20+Color%203.png
118,Heineken ,El Alcazar,Pilsen,6.0,España,,Maria - Jaen,Heineken El Alcazar.png,https://borja-unibeerse.netlify.app/BeerImages/Heineken%20El%20Alcazar.png
119,Hofbräu Munchen,Hofbräu Oktoberfestbier,Festbier,6.3,Alemania,,,Hofbräu Munchen Oktoberfestbier.png,https://borja-unibeerse.netlify.app/BeerImages/Hofbr%C3%A4u%20Munchen%20Oktoberfestbier.png
120,Ichnusa,Anima Sarda,Lager,4.7,Italia,,,Ichinusa Anima Sarda.png,https://borja-unibeerse.netlify.app/BeerImages/Ichinusa%20Anima%20Sarda.png
121,Ichnusa,Non FIltrata,Lager,5.0,Italia,,,Ichinusa Non Filtrata.png,https://borja-unibeerse.netlify.app/BeerImages/Ichinusa%20Non%20Filtrata.png
